DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
678.92157,1.840417759,35.703,13.022,1.003446656,990.39979,2
663.60294,1.884574834,25.206,6.493,1.003594636,956.43341,2
610.53922,1.856628449,32.142,6.0896,1.003987035,833.73383,2
689.70588,1.841425397,36.354,13.219,1.004734009,914.91035,2
665.56373,1.849544282,37.335,1.9808,1.007710129,923.32401,3
672.30392,1.887169554,24.949,0.0553,1.007775109,956.58922,2
609.92647,1.852916801,36.645,0.0427,1.008624055,875.25699,2
687.00981,1.888296734,25.113,1.7464,1.00968111,970.76788,2
647.42647,1.833862424,31.019,13.192,1.009993164,829.13746,2
624.63235,1.840965586,34.514,13.52,1.011671619,882.2683,2
623.28432,1.849624205,34.136,8.0282,1.011687892,891.9285,2
648.16177,1.834401633,30.931,4.1115,1.012506103,837.94066,2
693.75,1.826413417,28.345,8.2444,1.01319733,947.31857,2
695.71079,1.843999691,36.004,16.358,1.013731074,1012.213,2
605.88235,1.855051546,35.555,7.5327,1.014455337,921.2206,2
627.32843,1.859446293,32.388,4.5999,1.014833049,849.15891,2
613.84804,1.855749171,36.343,3.3664,1.015552689,876.58132,2
688.35784,1.866948248,29.627,10.6215,1.015712352,905.79552,2
672.91667,1.85172495,37.286,1.632,1.0161049,937.58058,3
691.05392,1.889119671,25.431,6.4109,1.016888094,969.52135,2
693.01471,1.855086126,31.495,0.0438,1.017227458,868.5572,2
625.98039,1.827095377,20.626,9.2353,1.019587806,1003.5656,2
613.84804,1.846789408,28.142,5.7277,1.01972414,851.18442,2
649.50981,1.829804243,22.094,1.655,1.020120857,913.89755,2
694.36275,1.84593161,36.519,12.567,1.021719481,957.99146,2
622.67157,1.84419738,34.766,12.967,1.021819631,890.9936,2
612.5,1.879544784,26.948,0.8146,1.022004472,848.37994,2
633.33333,1.861603284,32.268,3.7053,1.022828255,861.15624,2
626.59314,1.832562455,19.109,11.6612,1.024430857,1009.72,2
638.72549,1.857102937,36.826,4.7006,1.024748137,904.23746,2
685.04902,1.833565401,28.488,3.3598,1.025020512,1005.3574,2
678.30883,1.840773402,31.638,13.378,1.025663835,846.89968,2
619.97549,1.857544918,37.313,4.0759,1.027184729,882.89157,2
664.21569,1.858749325,31.495,13.783,1.027502413,1049.1398,2
644.11765,1.855595812,34.284,11.181,1.028024121,907.82102,2
676.96079,1.875703171,32.47,5.6379,1.028145069,1026.8591,2
695.71079,1.83345123,21.36,0.0422,1.028613862,990.01025,2
642.76961,1.867631537,26.285,0.0476,1.02920914,899.64109,2
638.72549,1.86226666,37.74,1.8297,1.029455632,901.7445,2
670.95588,1.856787884,37.697,1.7859,1.030025933,967.49584,2
656.86275,1.833932136,21.278,2.8272,1.031811155,954.87535,2
657.47549,1.857491283,34.475,13.866,1.034311814,922.31121,3
632.72059,1.834128586,21.903,0.0394,1.034642134,942.41057,2
640.07353,1.835269997,28.104,6.8051,1.034958818,923.55774,2
605.88235,1.833502605,22.149,6.2511,1.03496803,950.43479,2
683.70098,1.83635761,20.582,1.401,1.036120207,983.46628,2
682.35294,1.875940402,32.306,5.4003,1.036534651,1021.7953,2
602.45098,1.831925649,25.031,5.7961,1.036761258,831.08506,2
649.50981,1.837210457,21.065,1.6172,1.03686687,947.5523,2
697.79412,1.832484202,21.191,4.9234,1.036869631,961.10768,2
697.05883,1.843538801,31.72,7.0022,1.036935008,873.85464,3
643.38235,1.864909962,32.963,4.3053,1.037032576,874.71163,2
607.23039,1.860576941,38.058,2.3016,1.03741392,868.16766,2
666.17647,1.83189204,22.22,3.373,1.038097055,933.68527,2
652.81863,1.862299773,37.099,0.0372,1.038168529,915.45571,2
681.61765,1.857954881,37.877,3.281,1.038666809,951.83703,3
674.26471,1.862627695,37.976,5.2859,1.039209453,958.92636,2
640.68628,1.84320215,28.394,8.3534,1.040233853,893.79819,2
668.25981,1.859634663,34.399,9.6613,1.040972929,945.6826,3
603.18628,1.859262903,34.382,15.027,1.041161849,881.41142,2
645.46569,1.86775544,33.095,1.0933,1.041406647,878.52892,2
693.75,1.837828355,22.976,2.2742,1.042942631,988.5301,2
615.19608,1.83842304,27.545,1.6857,1.043153997,911.24877,2
669.60784,1.86463001,36.683,2.0027,1.04341746,931.9714,2
659.55883,1.870012803,32.125,0.5081,1.043998386,891.14941,2
654.16667,1.850607798,34.81,11.3825,1.044161483,927.37503,2
681.0049,1.83916797,28.367,1.4601,1.047338005,953.00566,2
642.76961,1.837010385,18.983,2.3437,1.047341452,939.13863,2
